Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-015T21:10:28.4854Z [Jan 15] ( 24.358,  87.673)    4944083           501      66     238    75015
2011-015T21:10:28.6664Z [Jan 15] ( 24.265,  87.695)    1017553           610      37      99    75015
2011-015T21:10:28.7020Z [Jan 15] ( 24.347,  87.844)      19386             5       4       4    75015
2011-015T21:10:30.6985Z [Jan 15] ( 23.950,  88.589)      67905             3       2       5    75015
2011-015T21:10:41.9803Z [Jan 15] ( 24.397,  88.751)     124048           296      11      23    75015
2011-015T21:10:56.5439Z [Jan 15] ( 24.178,  89.001)    1044360           184      15      50    75015
2011-015T21:11:03.8041Z [Jan 15] ( 23.964,  88.590)    1005380           458      15      55    75015
2011-015T21:11:04.3091Z [Jan 15] ( 24.284,  88.791)       7162             0       1       1    75015
2011-015T21:11:07.8292Z [Jan 15] ( 24.140,  88.598)    4762172           531      87     317    75015
2011-015T21:11:08.1015Z [Jan 15] ( 24.196,  88.653)      51901           112       2       6    75015
2011-015T21:11:10.3000Z [Jan 15] ( 24.375,  87.673)    1064473           306      19     105    75015
2011-015T21:11:15.3617Z [Jan 15] ( 24.001,  88.597)     308994           229      12      42    75015
2011-015T21:11:16.6919Z [Jan 15] ( 24.082,  88.505)    1332736           297      34     124    75015
2011-015T21:11:28.6274Z [Jan 15] ( 24.290,  88.079)    1085571           646      19     123    75015
2011-015T21:11:54.7863Z [Jan 15] ( 24.015,  88.563)     157396            23       6      21    75015
2011-015T21:11:56.4516Z [Jan 15] ( 24.455,  88.773)    1652621           398      47     181    75015
2011-015T21:11:56.5627Z [Jan 15] ( 24.427,  88.756)     666113           427      31      92    75015
2011-015T21:11:59.5219Z [Jan 15] ( 24.216,  89.058)    4266438           170      13     133    75015
2011-016T20:15:43.5109Z [Jan 16] ( 22.754,  92.379)     350323           549      10      29    75030
2011-016T20:15:43.6074Z [Jan 16] ( 22.736,  92.407)    3257754           460      14      88    75030
2011-016T20:15:56.9128Z [Jan 16] ( 22.698,  92.397)     190448           196       8      20    75030
2011-016T20:16:03.6825Z [Jan 16] ( 22.988,  92.485)     745305           533      26      97    75030
2011-016T20:16:09.0538Z [Jan 16] ( 22.547,  91.812)      54811            83       6      10    75030
2011-016T20:16:24.7169Z [Jan 16] ( 22.831,  92.444)     220617           493      15      37    75030
2011-016T20:16:27.3290Z [Jan 16] ( 23.009,  92.449)     717017           198      19      60    75030
2011-016T20:17:03.0189Z [Jan 16] ( 22.792,  92.445)    2098946           696      49     188    75030
2011-026T22:24:15.6789Z [Jan 26] ( 23.833,  87.659)    1297643            62      10      47    75187
2011-030T20:18:56.9650Z [Jan 30] ( 22.183,  87.980)    2043480           345      45     125    75248
2011-030T20:18:57.0042Z [Jan 30] ( 22.116,  87.969)      75573           270       7      14    75248
2011-040T09:24:33.9115Z [Feb 09] ( 26.771,  88.418)     192220           139       5      12    75397
2011-040T09:24:49.6228Z [Feb 09] ( 26.921,  89.198)      71252           239       4       7    75397
2011-040T09:24:56.9529Z [Feb 09] ( 26.821,  88.465)    1504562           421      35     102    75397
2011-040T09:25:14.9632Z [Feb 09] ( 27.263,  88.288)     474384           336      13      36    75397
2011-040T09:25:19.8230Z [Feb 09] ( 26.818,  88.370)      70896            83       5       7    75397
2011-040T09:25:29.8062Z [Feb 09] ( 26.837,  88.849)     195110           361      16      29    75397
2011-040T09:25:42.9970Z [Feb 09] ( 26.836,  88.408)      88118            71       4      10    75397
2011-040T09:25:51.4321Z [Feb 09] ( 26.976,  89.210)     121877           134      11      14    75397
2011-040T09:25:52.7441Z [Feb 09] ( 27.338,  87.813)     532923           410      13      38    75397
2011-040T09:25:52.8748Z [Feb 09] ( 27.159,  88.945)     270725           247       8      19    75397
2011-040T09:26:01.8526Z [Feb 09] ( 26.824,  88.417)      29690             0       1       3    75397
2011-046T12:01:34.4326Z [Feb 15] ( 27.288,  88.013)     717555           427      16      49    75492
2011-046T12:02:39.2534Z [Feb 15] ( 27.301,  87.991)    1010154            26      16      60    75492
2011-047T11:05:49.4882Z [Feb 16] ( 25.686,  87.568)      43876            96       5       6    75507
2011-047T11:05:54.8328Z [Feb 16] ( 25.722,  87.551)      26140             0       1       2    75507
2011-047T11:05:55.4343Z [Feb 16] ( 27.345,  87.503)      59500           187       5       9    75507
2011-047T11:05:55.8982Z [Feb 16] ( 25.701,  87.641)     339608           658      23      41    75507
2011-047T11:05:55.9002Z [Feb 16] ( 26.340,  88.188)      91412           213       9      11    75507
2011-047T11:05:58.4298Z [Feb 16] ( 25.696,  87.539)      62384            80       5       5    75507
2011-047T11:05:59.9177Z [Feb 16] ( 26.373,  88.131)     116662           229       6      16    75507
2011-047T11:06:01.1584Z [Feb 16] ( 25.061,  87.559)     945321           430      27      68    75507
2011-047T11:06:01.3413Z [Feb 16] ( 26.357,  87.682)    1509910           585      29      92    75507
2011-047T11:06:02.6162Z [Feb 16] ( 25.736,  87.541)      89570            87       4       8    75507
2011-047T11:06:08.9472Z [Feb 16] ( 25.712,  87.538)      54022            28       4       7    75507
2011-047T11:06:09.3859Z [Feb 16] ( 25.754,  87.601)      91784            87       2       8    75507
2011-047T11:06:10.4281Z [Feb 16] ( 25.635,  88.676)      41055            83       4       6    75507
2011-047T11:06:10.8914Z [Feb 16] ( 25.947,  89.051)      75438             0       1       5    75507
2011-047T11:06:12.0824Z [Feb 16] ( 25.640,  88.696)     194691           402       8      18    75507
2011-047T11:06:13.5683Z [Feb 16] ( 26.074,  89.049)    1004785           806      46     115    75507
2011-047T11:06:13.7618Z [Feb 16] ( 26.142,  88.845)     334296           225       7      21    75507
2011-047T11:06:14.5964Z [Feb 16] ( 25.974,  89.009)      46129           173       4       7    75507
2011-047T11:06:16.1290Z [Feb 16] ( 25.677,  88.728)     149178             0       1       8    75507
2011-047T11:06:16.6803Z [Feb 16] ( 25.653,  88.905)      33929             0       1       3    75507
2011-047T11:06:17.5466Z [Feb 16] ( 25.919,  89.021)      16000             0       1       1    75507
2011-047T11:06:19.6903Z [Feb 16] ( 25.718,  88.778)     875801           479      21      70    75507
2011-047T11:06:21.7546Z [Feb 16] ( 25.040,  87.539)      66405            80       5       6    75507
2011-047T11:06:21.9104Z [Feb 16] ( 26.720,  87.567)     886182           456      20      84    75507
2011-047T11:06:22.0159Z [Feb 16] ( 25.936,  89.001)     138636            91       8      13    75507
2011-047T11:06:22.2827Z [Feb 16] ( 25.674,  88.712)     135131           193       6      11    75507
2011-047T11:06:22.3129Z [Feb 16] ( 25.909,  89.117)      91794            93       2       8    75507
2011-047T11:06:22.3722Z [Feb 16] ( 26.907,  88.266)   22823760           250      47     482    75507
2011-047T11:06:22.4722Z [Feb 16] ( 26.987,  88.306)     138265           245       7      21    75507
2011-047T11:06:22.5049Z [Feb 16] ( 27.134,  88.232)     177349            71       9      25    75507
2011-047T11:06:22.8290Z [Feb 16] ( 25.972,  89.014)     166044            10       2      13    75507
2011-047T11:06:22.8410Z [Feb 16] ( 27.027,  88.421)      79608           347       6      13    75507
2011-047T11:06:25.9963Z [Feb 16] ( 25.722,  87.555)     142978            92       5      11    75507
2011-047T11:06:27.0741Z [Feb 16] ( 25.694,  88.748)     152261           182       5      14    75507
2011-047T11:06:27.2762Z [Feb 16] ( 25.990,  89.059)     165920            71       3      13    75507
2011-047T11:06:27.7113Z [Feb 16] ( 25.747,  87.550)      51996             1       2       6    75507
2011-047T11:06:28.2917Z [Feb 16] ( 26.103,  89.047)    1235165           442      23      97    75507
2011-047T11:06:29.7560Z [Feb 16] ( 26.005,  89.015)     511128           250       8      29    75507
2011-047T11:06:30.2198Z [Feb 16] ( 26.313,  87.680)      58485           476       6      10    75507
2011-047T11:06:30.7982Z [Feb 16] ( 25.928,  89.125)      89005            21       2       9    75507
2011-047T11:06:31.1042Z [Feb 16] ( 26.084,  88.887)     160916            50       4      16    75507
2011-047T11:06:31.8816Z [Feb 16] ( 25.062,  87.555)    2014828           341      23      76    75507
2011-047T11:06:32.9414Z [Feb 16] ( 25.305,  87.583)     238727           273      11      24    75507
2011-047T11:06:33.5680Z [Feb 16] ( 25.635,  88.684)      97024           139       6      12    75507
2011-047T11:06:33.6002Z [Feb 16] ( 25.983,  89.100)     151844            60       7      13    75507
2011-047T11:06:33.9389Z [Feb 16] ( 25.713,  87.634)      35104             0       1       3    75507
2011-047T11:06:34.3399Z [Feb 16] ( 26.408,  87.733)      97518           194       8      15    75507
2011-047T11:06:34.4545Z [Feb 16] ( 25.609,  88.717)     156288           168       5      12    75507
2011-047T11:06:35.0454Z [Feb 16] ( 25.681,  88.739)     114084           234       4      12    75507
2011-047T11:06:37.1363Z [Feb 16] ( 25.680,  88.724)      85699            84       2       5    75507
2011-047T11:06:37.5750Z [Feb 16] ( 26.067,  89.040)     224114           234       8      26    75507
